Timestamp,Chip_ID,Core_Voltage_V,Temperature_C,Dynamic_Power_W
1710500000,CX8_002,0.80,45.2,15.1
1710500010,CX8_002,0.80,48.5,15.8
1710500020,CX8_002,0.80,51.9,16.4
1710500030,CX8_002,0.80,55.4,17.2
1710500040,CX8_002,0.80,58.8,17.9
1710500050,CX8_002,0.80,62.1,18.5
1710500060,CX8_002,0.80,65.3,19.2
1710500070,CX8_002,0.80,68.6,20.1
1710500080,CX8_002,0.80,71.8,20.8
1710500090,CX8_002,0.80,75.1,21.5
1710500100,CX8_002,0.80,78.5,22.4
1710500110,CX8_002,0.82,80.6,23.1
1710500120,CX8_002,0.82,82.8,23.8
1710500130,CX8_002,0.82,84.9,24.4
1710500140,CX8_002,0.82,87.1,25.1
1710500150,CX8_002,0.82,89.2,25.8
1710500160,CX8_002,0.82,91.3,26.4
1710500170,CX8_002,0.82,93.4,27.1
1710500180,CX8_002,0.82,95.5,27.7
1710500190,CX8_002,0.82,97.5,28.3
1710500200,CX8_002,0.82,99.5,28.8
1710500210,CX8_002,0.80,100.1,29.1
1710500220,CX8_002,0.80,100.7,29.3
1710500230,CX8_002,0.80,101.2,29.6
1710500240,CX8_002,0.80,101.8,29.9
1710500250,CX8_002,0.80,102.4,30.2
1710500260,CX8_002,0.80,102.9,30.4
1710500270,CX8_002,0.80,103.5,30.6
1710500280,CX8_002,0.80,104.1,30.8
1710500290,CX8_002,0.80,104.6,31.0
1710500300,CX8_002,0.80,105.2,31.2
1710500310,CX8_002,0.80,105.4,31.3
1710500320,CX8_002,0.80,105.5,31.5
1710500330,CX8_002,0.80,105.6,31.6
1710500340,CX8_002,0.80,105.7,31.8
1710500350,CX8_002,0.80,105.8,31.9
1710500360,CX8_002,0.80,105.9,32.1
1710500370,CX8_002,0.80,105.9,32.2
1710500380,CX8_002,0.80,106.0,32.3
1710500390,CX8_002,0.80,106.0,32.4
1710500400,CX8_002,0.80,106.1,32.5
1710500410,CX8_002,0.80,106.1,32.6
1710500420,CX8_002,0.80,106.2,32.7
1710500430,CX8_002,0.80,106.2,32.8
1710500440,CX8_002,0.80,106.3,32.9
1710500450,CX8_002,0.80,106.3,33.0
1710500460,CX8_002,0.80,106.4,33.1
1710500470,CX8_002,0.80,106.4,33.2
1710500480,CX8_002,0.80,106.5,33.3
1710500490,CX8_002,0.80,106.5,33.4
1710500500,CX8_002,0.80,106.5,33.5
1710500510,CX8_002,0.80,106.6,33.6
1710500520,CX8_002,0.80,106.6,33.7
1710500530,CX8_002,0.80,106.6,33.8
1710500540,CX8_002,0.80,106.7,33.9
1710500550,CX8_002,0.80,106.7,33.9
1710500560,CX8_002,0.80,106.7,34.0
1710500570,CX8_002,0.80,106.8,34.0
1710500580,CX8_002,0.80,106.8,34.1
1710500590,CX8_002,0.80,106.8,34.1
